n,lu_pivot_flops,lu_pivot_forward_error,lu_pivot_backward_error,recursive_lu_flops,recursive_lu_forward_error,recursive_lu_backward_error,block_lu_flops,block_lu_forward_error,block_lu_backward_error
16,3690.6699999999996,2.8869819999999997e-16,1.024684e-15,3690.6699999999996,1.6984219999999997e-15,1.1237030999999999e-13,3690.6699999999996,1.117916e-15,3.385628e-15
64,190891.0,9.33522e-16,2.192074e-14,190891.0,1.1267352e-13,0.7988000000413998,190891.0,2.004136e-14,1.1900592e-13
128,1463130.0,1.74516e-15,2.2090824e-12,1463130.0,4.14485e-14,1.10722e+32,1463130.0,6.081694800000001e-12,7.487904e-13
256,11445900.0,3.9245939999999994e-15,2.0462448e-12,11445900.0,2.9833990564e-10,3.1694e+52,11445900.0,3.4593962e-12,1.4795940819999999e-10
512,90525000.0,1.1530003999999998e-14,6.736966319e-08,90525000.0,2.8219706675999998e-09,2.6678000000000002e+181,90525000.0,4.5482626507000005e-08,1.380321652e-10
1000,670663000.0,2.210965e-14,2.61506425e-11,670663000.0,5.7013935500000006e-11,5.471e+44,670663000.0,1.0439105e-10,1.548872075e-10
